"Source:","E:\Projects\Solar_panel_tester\Solar_panel_tester_2022_v1.0\Solar_panel_tester_2022_load_v1.0.kicad_sch"
"Date:","23/05/2022 9:51:34 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","A1_MIN","A_MAX","A_MIN","A_NOM","B_MAX","B_MIN","B_NOM","D2_MAX","D_MAX","D_MIN","D_NOM","E1_MAX","E1_MIN","E1_NOM","E2_MAX","ENOM","E_MAX","E_MIN","E_NOM","L_MAX","L_MIN","L_NOM","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","PIN_COUNT","STANDARD"
"2","4","C2, C4, C7, C8","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","1","C3","4u7","Device:C","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2","C5, C6","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_6.4mm_M6_DIN965_Pad","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","2","J1, J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","J2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1","J4","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Wire:SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm_Relief","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1","J5","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1","Q1","Q_NMOS_GDS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-268-2","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","14","R1, R2, R3, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1","R4","R","Device:R","Resistor_THT:R_Bare_Metal_Element_L12.4mm_W4.8mm_P11.40mm","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1","TH1","Thermistor","Device:Thermistor","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1","U1","TL074","Amplifier_Operational:TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","1","U2","MAX5705BAUB+","MAX5705BAUB_:MAX5705BAUB+","MAX5705BAUB_:SOP50P490X110-10N","","0.05","1.1","1.1","1.1","0.27","0.177","0.224","0.0","3.05","2.95","3.0","3.05","2.95","3.0","0.0","0.5","5.05","4.75","4.9","0.7","0.4","0.55","Maxim Integrated","","","10.0","IPC 7351B"
"16","1","U3","ATTINY826-SF","ATTINY826-SF:ATTINY826-SF","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","","","","","","","","","","","","","","","","","","","","","","","Microchip","2 mm","B","","IPC 7351B"
"17","1","U4","NCP1117-3.3_SOT223","Regulator_Linear:NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
